created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 09 15:18:26 +0000 2023;1733506395218022495;"@VIVAcoid Prabowo baru sekrng ngsih mkan siang gratis ada yg malu ktanya ngikuti pk anies krna sdh lama pk anies menggratiskn makan siang maluuuu  katanya🤣🤣🤣🤣 https://t.co/X3z01fl8nk";0;0;0;0;in;1698370145075310592;1733293177472528566;ZKasmin96062;https://twitter.com/ZKasmin96062/status/1733506395218022495
Sat Dec 09 15:18:20 +0000 2023;1733506372166385955;"@Dennysiregar7 Pada masa itu....iya  ayahnya gibran vs Prabowo  😂🤣🤣 https://t.co/NHKbLnfZNO";0;0;0;0;in;1603946145868234752;1733472240870826305;riharis162;https://twitter.com/riharis162/status/1733506372166385955
Sat Dec 09 15:18:18 +0000 2023;1733506363198939377;"@info_beragam @prabowo @Gerindra bersama PakbowoKita PilihannyaKita emang mantab, sebab betul bahwa tiap masalah jadi peluang agar tumbuh dan maju.  #AkuRelawanPrabowoGibran #KitaMudaBeraniKeren SerunyaBareng AyahbowoGibran @prabowo @gerindra https://t.co/KXC7kyPleb";0;0;0;0;in;1711242562177269760;1733495825718993125;SariiiiRatna;https://twitter.com/SariiiiRatna/status/1733506363198939377
Sat Dec 09 15:18:18 +0000 2023;1733506360841789672;"@Tjel0up Kita kembali ke konteks awal ya untuk membedakan  Bedanya ada Cak Imin di baliho kebanyakan caleg PKB, ada Anies di baliho kebanyakan caleg PKS dan Nasdem.  Sedangkan, Prabowo-Gibran hanya ada di kebanyakan caleg Gerindra, AHY ada di kebanyakan caleg Demokrat, partai lain?";0;2;0;0;in;1336862676983562240;1733504784345465263;GaTypoLagi;https://twitter.com/GaTypoLagi/status/1733506360841789672
Sat Dec 09 15:17:52 +0000 2023;1733506254272971110;"@VIVAcoid Sejahtera dikasih duit sampe pemilu selesai 😂";0;0;0;0;in;74853991;1733405899749052648;zeinaffan;https://twitter.com/zeinaffan/status/1733506254272971110
Sat Dec 09 15:17:50 +0000 2023;1733506246194696265;"@cuitcuap_ @prabowo @Gerindra Kita2 berharapnya PakbowoKita PilihannyaKita, yg punya sikap bijak serta memiliki pemahaman yg jelas ttg masalah yg ada di bangsa.  #AkuRelawanPrabowoGibran #KitaMudaBeraniKeren SerunyaBareng AyahbowoGibran @prabowo @gerindra https://t.co/0lQX5xnMQL";0;0;0;0;in;1710830470546800640;1733501318302777451;wari_ester;https://twitter.com/wari_ester/status/1733506246194696265
Sat Dec 09 15:17:46 +0000 2023;1733506229895639408;"@robbyensoe @beniawaludin88 @VIVAcoid Emng bener keluarga saya saya dulu Prabowo sekarang Anies";0;0;0;0;in;1611012567111200768;1733405899749052648;Pejuankrupiah98;https://twitter.com/Pejuankrupiah98/status/1733506229895639408
Sat Dec 09 15:17:36 +0000 2023;1733506188376178872;"@Metro_TV @prabowo @aniesbaswedan Gagasannya Apa Pak Prabowo ?  Yaitu tadi....kok masih nanya?  Apa Pak Prabowo?   Joget...alahhh bawel yg nanya 😂";0;0;0;0;in;2926855970;1733380028434694452;DsSupriyady;https://twitter.com/DsSupriyady/status/1733506188376178872
Sat Dec 09 15:17:35 +0000 2023;1733506184056090766;"@adearmando61 Padahal yg live akunya pemilih prabowo https://t.co/7mvle71hDa";0;0;0;0;in;1283595159549042688;1733449033992290591;ichaaasv;https://twitter.com/ichaaasv/status/1733506184056090766
Sat Dec 09 15:17:27 +0000 2023;1733506148404478295;"@info_beragam @prabowo @Gerindra milih PakbowoKita PilihannyaKita betul asik, sebab betul bahwa disetiap halangan adalah peluang agar tumbuh dan berkembang.  #AkuRelawanPrabowoGibran #KitaMudaBeraniKeren SerunyaBareng AyahbowoGibran @prabowo @gerindra";0;0;0;0;in;1711243074108870656;1733495825718993125;RPradannna;https://twitter.com/RPradannna/status/1733506148404478295
Sat Dec 09 15:17:26 +0000 2023;1733506145195864187;"@lehman27540915 @ajengcute16__ @hasanaje @PDemokrat @AgusYudhoyono @prabowo Amiin 😂😂😂";0;0;0;0;in;1715719403374014464;1733353129121661242;MukeloR77689;https://twitter.com/MukeloR77689/status/1733506145195864187
Sat Dec 09 15:17:33 +0000 2023;1733506175499669958;"Prabowo ngk ada bedanya Sama jokodok pembual belaka .TUTI ...alias tukang tipu juga...korup juga...kemana tuh food estate . .terbengkala semuanya .modalnya kemana..juga..ngk jelas.paling masuk katong anda juga...cape deh..ujung2nya dikorupsi juga..";0;0;0;0;in;922666416;1733506175499669958;bravojumadi;https://twitter.com/bravojumadi/status/1733506175499669958
Sat Dec 09 15:17:28 +0000 2023;1733506151474684221;"Jangankan hasil survey, @prabowo sejak 2014 - 2019 sudah klaim menang pilpres dengan sujud syukurnya live di tv ! Lu pada masih percaya ??? Memang jadi pengikut dan pendukung nya itu mudah saja : Cukup bodoh saja, maka anda sah sebagai pendukungnya !!! https://t.co/MtFuXTv253";0;0;0;0;in;1476461823465431040;1733506151474684221;Guard31Tony;https://twitter.com/Guard31Tony/status/1733506151474684221
Sat Dec 09 15:17:16 +0000 2023;1733506103802200446;"@Nicho_Silalahi @prabowo Menurut keterangan timses wowo, biaya makan siang gratis utk anak2 diambilkan dr pos anggaran lain spt anggaran pendidikan, kesehatan, jg utang, dll Bisa jd nanti setelah gara2 ada makan siang gratis anak, maka biaya pendidikan dan kesehatan malah jd makin mahal. waspadalah!";1;1;0;0;in;1605406472984178688;1733165405093708166;fxnetizen;https://twitter.com/fxnetizen/status/1733506103802200446
Sat Dec 09 15:16:45 +0000 2023;1733505974022094963;"@cheatxiiizn @prabowo SAMSUL";0;0;0;0;in;1603566784035966977;1733397814204670092;Hansens05;https://twitter.com/Hansens05/status/1733505974022094963
Sat Dec 09 15:17:09 +0000 2023;1733506073838203323;"PRIMA tegak lurus bersama Prabowo-Gibran 2024 ✌️👆🫰  #JabarTetapPrabowo #PrabowoBersamaPalestina #IndonesiaPrima #MenangkanPancasila #PrabowoGibran2024 https://t.co/O9ytMVYiac";0;1;0;0;in;1378725801101684736;1733506073838203323;DpwPrima;https://twitter.com/DpwPrima/status/1733506073838203323
